neighborhood,bhk,area_sqft,price_inr,age_years,amenities,listed_on
Worli,1,861.0,23381375.0,0,"Pool, Security, Gym","February 16, 2024"
Goregaon,2,797.0,7615510.0,28,"Garden, Security, Gym, Parking",19-Nov-24
Worli,3,706.0,30362914.0,12,Gym,2024-11-27
Borivali,2,953.0,21499986.0,28,"Garden, Pool","June 21, 2024"
Worli,2,,8164710.0,5,Pool,09/05/2024
Bandra,3,754.0,13149404.0,4,"Pool, Garden, Parking",14-Feb-25
Worli,2,654.0,14821773.0,33,"Garden, Gym, Security",2024-04-04
Dadar,4,250.0,17983484.0,10,"Parking, Gym","April 24, 2024"
Juhu,4,646.0,19082461.0,8,Gym,30/08/2024
Powai,1,720.0,12139554.0,37,"Security, Garden","February 23, 2025"
Worli,3,952.0,6121674.0,39,"Pool, Security",18/10/2024
Andheri,2,,15943041.0,8,"Garden, Pool, Security, Gym",08/10/2024
Juhu,5,684.0,9417650.0,7,"Garden, Gym, Security, Parking",25-Oct-24
Juhu,2,541.0,2035958.0,39,"Security, Garden",2024-10-09
Worli,5,649.0,13717282.0,2,"Parking, Garden, Gym",09-Mar-24
Juhu,3,953.0,6986805.0,12,"Parking, Gym, Garden",2024-05-27
Goregaon,2,1106.0,8243760.0,18,"Gym, Garden",2024-01-11
Worli,2,1154.0,10892801.0,33,"Parking, Garden, Gym, Pool",10/09/2024
Bandra,5,1189.0,4272936.0,31,"Garden, Gym, Security","November 25, 2024"
Borivali,4,1239.0,11797815.0,15,"Pool, Security, Parking",2024-12-25
Dadar,1,802.0,8975198.0,35,"Gym, Security, Parking",2024-02-07
Bombay,3,1618.0,6411912.0,17,"Pool, Security, Parking, Gym",2024-05-13
Navi Mumbai,2,775.0,11158868.0,13,"Gym, Garden, Security, Pool",2024-07-18
Juhu,1,938.0,3936814.0,29,"Garden, Security",23/01/2024
Bandra,2,1353.0,11357355.0,1,"Parking, Garden, Pool, Security",29-Oct-24
Powai,2,1098.0,14394537.0,12,"Gym, Security","December 11, 2024"
Powai,3,250.0,13035008.0,26,Security,28/10/2024
Navi Mumbai,2,,17423502.0,16,"Security, Garden",28/12/2024
Dadar,3,1201.0,21839077.0,30,Pool,30/01/2025
Juhu,1,429.0,10336495.0,14,Parking,2024-08-05
Goregaon,2,1162.0,20942051.0,19,"Pool, Gym, Security","May 20, 2024"
Navi Mumbai,2,1036.0,10313341.0,4,"Pool, Garden, Parking, Gym",13/04/2024
Dadar,2,1314.0,7133578.0,6,"Gym, Pool, Security",21/03/2025
Juhu,1,657.0,8574898.0,17,"Parking, Gym, Security",28/07/2024
Bandra,2,1248.0,12739100.0,10,Gym,2025-04-17
Borivali,3,955.0,20813382.0,31,"Parking, Garden, Security",2025-04-25
Goregaon,2,1518.0,10863050.0,26,"Parking, Pool",20/04/2024
Thane,2,1875.0,7244882.0,25,"Pool, Security, Gym",2024-04-13
Powai,2,1438.0,25817317.0,36,Security,"November 11, 2024"
Andheri,4,1068.0,4588713.0,27,"Garden, Pool",2024-06-19
Bandra,4,1712.0,7272981.0,1,Pool,04/04/2025
Powai,2,1111.0,18544256.0,19,Garden,"May 06, 2025"
Worli,2,582.0,31323349.0,3,"Security, Gym, Parking",2024-12-21
Andheri,1,886.0,14481880.0,12,"Security, Parking",10/05/2025
Powai,5,1166.0,12609140.0,23,"Security, Parking, Pool",19-Nov-24
Dadar,1,1189.0,9115446.0,37,Gym,12-May-24
Goregaon,2,506.0,15079439.0,39,"Parking, Garden, Security, Pool","January 10, 2025"
Powai,2,517.0,11729535.0,28,"Security, Parking","October 19, 2024"
Thane,2,780.0,6901720.0,35,"Parking, Pool, Gym, Garden","November 23, 2024"
Borivali,2,1087.0,9016833.0,1,"Pool, Security, Parking, Gym",2024-05-06
Dadar,3,1131.0,6449624.0,17,"Parking, Gym, Security","April 15, 2024"
Bandra,1,949.0,10942549.0,7,Parking,2025-05-11
Bandra,3,607.0,11960304.0,14,"Pool, Gym, Parking",01/04/2024
Bandra,1,1507.0,28936951.0,16,"Garden, Gym",2024-10-13
Bandra,1,524.0,7584079.0,22,Security,2025-01-12
Borivali,4,,9737880.0,1,"Pool, Parking, Gym, Security",27/01/2025
Powai,2,1158.0,23103826.0,5,"Garden, Security",20-Feb-24
Juhu,3,1348.0,32057881.0,28,Security,2024-01-29
Powai,2,,14430096.0,26,"Pool, Security, Garden",2025-04-06
Worli,1,850.0,9321761.0,36,"Gym, Pool",22/10/2024
Goregaon,5,,8171715.0,33,Gym,"October 23, 2024"
Andheri,2,733.0,3591785.0,17,Garden,01/08/2024
Juhu,4,978.0,6220364.0,9,Pool,23-Sep-24
Juhu,2,1452.0,11535473.0,37,"Gym, Garden, Security","February 10, 2025"
Powai,4,,9736658.0,16,"Garden, Pool, Parking",13-Sep-24
Juhu,1,669.0,15776701.0,12,"Gym, Garden, Parking, Pool",2024-10-28
Navi Mumbai,2,631.0,9653956.0,26,Garden,10-Apr-24
Navi Mumbai,3,866.0,7020645.0,1,"Security, Parking, Garden, Gym",08-Feb-25
Worli,4,852.0,13320391.0,33,Gym,11/12/2024
Andheri,4,1170.0,48796012.0,30,"Gym, Security, Garden","April 19, 2024"
Thane,3,911.0,8971743.0,22,"Garden, Gym, Parking",2025-02-23
Borivali,4,1006.0,11796725.0,6,"Security, Garden, Pool, Gym",2024-06-30
Powai,2,1039.0,18040961.0,37,"Security, Pool, Parking, Gym",2025-04-15
Borivali,2,985.0,7702296.0,32,"Garden, Security, Gym, Pool","November 08, 2024"
Thane,2,1146.0,23292792.0,11,"Parking, Pool, Gym","January 01, 2024"
Powai,2,857.0,4208328.0,11,"Parking, Pool, Garden, Security",14-Nov-24
Powai,2,1476.0,8498190.0,18,"Garden, Gym, Pool, Security",13-Mar-25
Andheri,2,1789.0,9004792.0,8,Parking,"February 24, 2024"
Borivali,2,1147.0,11883895.0,9,"Parking, Garden, Security",2025-01-05
Navi Mumbai,3,979.0,3325436.0,16,"Security, Gym, Parking, Pool","February 27, 2025"
Bandra,2,1118.0,24437855.0,39,Parking,02/02/2025
Borivali,2,514.0,13915732.0,38,"Security, Parking, Pool, Garden","May 28, 2024"
Goregaon,2,963.0,21288953.0,9,"Gym, Garden, Security","March 06, 2025"
Goregaon,3,644.0,28568676.0,11,"Pool, Security",2025-04-01
Powai,3,1078.0,6959803.0,14,Security,04-Nov-24
Bandra,3,645.0,2429965.0,30,Parking,16/05/2024
Dadar,2,779.0,21591702.0,14,"Security, Pool, Gym, Garden",20/07/2024
Thane,2,250.0,9139995.0,27,"Garden, Pool, Parking",11/03/2025
Worli,1,489.0,5499121.0,3,Security,"November 08, 2024"
Bandra,2,1024.0,15337016.0,35,"Parking, Pool, Gym, Security",2024-04-26
Worli,2,,47590045.0,0,"Parking, Security","June 02, 2024"
Borivali,1,1272.0,10166983.0,33,"Garden, Gym, Security, Parking",28-Feb-25
Borivali,2,566.0,19204780.0,16,"Garden, Gym, Pool, Security",2024-10-17
Worli,5,1058.0,6001370.0,38,"Garden, Security",03/03/2024
Thane,5,633.0,3944944.0,37,Garden,"August 31, 2024"
Bandra,2,,18781150.0,32,"Parking, Gym",2024-01-25
Dadar,1,362.0,15061372.0,20,"Gym, Security, Parking, Pool","March 30, 2024"
Powai,2,741.0,8207659.0,25,"Security, Parking, Garden, Gym",2024-03-15
Andheri,2,603.0,30211451.0,35,Gym,20/10/2024
Borivali,4,1209.0,3765181.0,4,"Security, Garden, Parking",20-Jan-25
Goregaon,1,1061.0,5188639.0,32,Garden,25-Jan-25
Thane,3,468.0,7836316.0,0,"Garden, Pool, Gym, Parking","July 28, 2024"
Andheri,1,828.0,8763990.0,5,"Pool, Parking, Security",19/04/2025
Dadar,5,629.0,26146158.0,36,"Pool, Security","February 21, 2025"
Juhu,2,1232.0,11178678.0,1,"Security, Parking, Gym, Garden","December 12, 2024"
Powai,3,1345.0,9666991.0,4,"Garden, Security",2024-01-17
Borivali,2,395.0,5065665.0,25,"Security, Gym",2024-05-07
Powai,3,1189.0,20831569.0,12,"Security, Garden, Parking",2025-03-02
Andheri,2,611.0,5487676.0,11,"Gym, Pool",18/03/2025
Powai,1,811.0,5051689.0,4,"Security, Garden, Pool, Gym",29/12/2024
Juhu,4,911.0,8536359.0,1,"Gym, Pool, Security","September 07, 2024"
Andheri,4,1535.0,11970028.0,3,Garden,2024-06-27
Borivali,4,548.0,7045604.0,26,Security,30/06/2024
Bandra,3,1192.0,16588338.0,9,"Garden, Gym, Parking, Pool","May 31, 2024"
Goregaon,3,489.0,9158695.0,12,"Gym, Garden, Security",25/01/2024
Andheri,1,465.0,20412568.0,1,"Parking, Garden, Pool","March 30, 2025"
Navi Mumbai,2,909.0,14695713.0,25,"Pool, Gym, Parking, Garden",28-Jun-24
Juhu,2,907.0,31797162.0,14,"Gym, Garden, Pool, Parking",2024-07-16
Andheri,3,250.0,8324076.0,9,"Gym, Parking, Security",09-Dec-24
Andheri,2,1305.0,18009008.0,21,"Security, Pool, Parking","June 09, 2024"
Navi Mumbai,1,250.0,3715089.0,39,"Garden, Parking","June 25, 2024"
Borivali,3,848.0,61527526.0,24,"Parking, Gym, Security",2024-10-11
Andheri,3,,17476504.0,14,Gym,2024-03-03
Goregaon,2,1673.0,9085731.0,12,"Gym, Parking, Pool","May 05, 2025"
Powai,1,,9290704.0,7,"Parking, Security, Pool",29/05/2024
Borivali,2,398.0,9358412.0,20,"Pool, Parking, Gym, Security",2024-06-02
Goregaon,2,1351.0,32737179.0,20,"Pool, Gym, Garden, Parking","June 04, 2024"
Borivali,2,1202.0,18608513.0,21,"Garden, Pool, Parking",2025-01-04
Goregaon,3,728.0,8318637.0,32,"Gym, Garden, Pool, Security",2025-04-13
Juhu,3,684.0,5161362.0,26,"Gym, Pool",18-Feb-24
Goregaon,3,,22245778.0,39,"Security, Garden, Gym, Parking",30-Mar-25
Worli,2,779.0,17950515.0,21,"Pool, Parking, Security, Garden",02/12/2024
Goregaon,3,1010.0,16581902.0,29,"Pool, Gym",2024-03-24
Bandra,2,701.0,10321641.0,8,"Garden, Gym, Security, Parking","December 26, 2024"
Bandra,2,746.0,9067703.0,34,"Security, Pool","June 25, 2024"
Thane,3,1124.0,29833250.0,17,Garden,2024-05-27
Worli,2,381.0,31546132.0,4,"Parking, Garden, Security, Pool",2024-04-27
Worli,1,768.0,15935740.0,26,Garden,07/12/2024
Powai,4,313.0,19421758.0,5,"Pool, Parking, Garden, Gym",20/04/2025
Worli,2,937.0,12505247.0,31,"Garden, Pool, Security",03/03/2024
Powai,3,250.0,4770724.0,7,"Gym, Parking, Security, Pool","July 07, 2024"
Thane,1,1211.0,6029378.0,38,"Pool, Garden",25-Dec-24
Thane,3,439.0,21589316.0,20,"Security, Garden, Gym, Parking",18/02/2024
Juhu,2,279.0,23306042.0,17,Gym,"November 22, 2024"
Bandra,1,772.0,20429208.0,13,"Pool, Garden, Security, Gym",13/09/2024
Goregaon,3,1498.0,13358072.0,14,Parking,"August 11, 2024"
Goregaon,2,1148.0,20889963.0,25,"Garden, Gym, Pool",2024-05-20
Navi Mumbai,2,250.0,10481450.0,31,"Security, Pool, Gym, Parking","April 22, 2025"
Navi Mumbai,1,429.0,15757613.0,38,Parking,2024-08-02
Dadar,1,,9599202.0,27,"Pool, Security","March 10, 2025"
Borivali,2,1683.0,5757009.0,38,"Pool, Garden, Gym, Parking",13-Jan-25
Juhu,1,571.0,18232991.0,31,"Parking, Pool","March 15, 2025"
Dadar,4,574.0,23325894.0,12,Pool,2024-07-29
Dadar,1,1434.0,47887988.0,14,"Parking, Gym",13-Nov-24
Andheri,2,968.0,12716582.0,17,"Pool, Security, Garden, Parking","February 01, 2024"
Andheri,1,1268.0,5788097.0,38,"Gym, Garden, Security","June 06, 2024"
Dadar,2,645.0,8912235.0,5,"Gym, Parking, Pool, Security",11/10/2024
Worli,4,864.0,10003696.0,10,"Security, Garden, Pool, Gym",31-Oct-24
Borivali,2,1360.0,11864943.0,31,"Pool, Gym",2025-03-04
Juhu,5,,14396933.0,39,"Garden, Gym, Parking, Security",21-Apr-25
Dadar,2,,13494349.0,19,"Security, Garden, Pool",2024-10-12
Goregaon,3,1035.0,17300559.0,32,"Garden, Parking, Gym, Security",23/05/2024
Bombay,2,536.0,12218403.0,39,"Gym, Pool, Garden, Security",27/02/2025
Andheri,4,894.0,2855685.0,7,"Parking, Gym",2024-01-19
Goregaon,3,,12438167.0,34,Garden,2024-01-18
Andheri,2,1134.0,11433274.0,4,"Pool, Gym",2024-09-13
Andheri,2,885.0,15099318.0,34,Security,18/03/2024
Borivali,2,,8737290.0,13,Garden,05-Jan-25
Andheri,4,271.0,12411269.0,20,"Pool, Gym, Parking, Garden",23/06/2024
Thane,2,345.0,15153549.0,23,"Gym, Parking, Pool, Garden","May 12, 2025"
Bandra,2,721.0,9859783.0,16,"Garden, Pool, Parking, Security",12/07/2024
Thane,3,,16281212.0,17,"Security, Parking, Garden, Gym","April 20, 2025"
Bandra,2,383.0,11319924.0,33,"Pool, Gym, Parking, Garden","April 22, 2024"
Navi Mumbai,5,1257.0,11923184.0,11,Pool,23/04/2024
Navi Mumbai,3,457.0,1879234.0,15,"Security, Parking, Garden",09/08/2024
Andheri,3,420.0,5463869.0,3,Security,14/06/2024
Juhu,4,930.0,5472798.0,24,"Gym, Garden, Pool, Parking",10-Mar-25
Juhu,1,,12357816.0,33,"Security, Parking",14/11/2024
Bandra,2,1619.0,23277531.0,27,"Parking, Pool, Security",2024-05-11
Goregaon,2,1103.0,10109144.0,10,"Garden, Gym",19/01/2025
Borivali,2,1452.0,18055825.0,12,"Garden, Pool, Gym, Security","September 20, 2024"
Andheri,3,475.0,16013643.0,30,Pool,16-Feb-25
Borivali,4,1655.0,11803847.0,24,"Garden, Security, Pool, Gym",24-Feb-24
Thane,2,250.0,15315654.0,38,Garden,"December 24, 2024"
Juhu,2,723.0,12579339.0,9,"Garden, Gym, Parking",10-May-24
Worli,5,,9965420.0,23,"Garden, Gym, Security, Parking",14-Oct-24
Thane,2,338.0,13723884.0,0,"Garden, Pool, Gym",2024-09-22
Thane,2,575.0,25854077.0,24,"Garden, Gym, Security, Parking",2025-04-02
Bandra,2,519.0,14413119.0,27,"Gym, Security, Garden",11-Apr-25
Powai,4,791.0,12369974.0,35,"Security, Pool, Gym",31/12/2024
Thane,3,1397.0,6411025.0,17,"Security, Garden, Parking, Pool",10-Jun-24
Andheri,3,905.0,25381347.0,5,Pool,2025-01-14
Dadar,3,737.0,4665805.0,1,"Pool, Garden, Gym, Parking",25-Apr-25
Dadar,2,250.0,3899513.0,2,"Parking, Garden",27/03/2024
Andheri,2,1063.0,13563276.0,7,"Garden, Parking",24/02/2024
Powai,3,1176.0,6398306.0,30,"Security, Pool, Gym, Parking",2025-04-20
Powai,2,,20862407.0,18,"Security, Gym",14-Oct-24
Bandra,3,876.0,3952175.0,5,"Parking, Garden",2024-06-26
Juhu,4,967.0,19328358.0,13,"Security, Garden","January 25, 2025"
Borivali,3,1237.0,17762307.0,2,Pool,2024-12-14
Powai,3,646.0,11649917.0,0,"Garden, Gym, Security",2024-01-08
Worli,3,593.0,3079436.0,29,Security,2024-11-16
Bandra,3,740.0,3859384.0,18,"Security, Garden, Pool",08-Nov-24
Navi Mumbai,2,1349.0,12534071.0,18,"Pool, Gym, Security, Garden","September 03, 2024"
Goregaon,1,,9438662.0,8,"Garden, Gym, Parking, Pool",18-Nov-24
Navi Mumbai,2,,16791749.0,6,"Pool, Gym, Security, Garden",16/04/2025
Bandra,3,1256.0,10418256.0,36,"Gym, Security","April 15, 2025"
Thane,2,250.0,9888585.0,6,"Pool, Garden, Gym",2025-03-18
Borivali,3,1177.0,2531214.0,8,"Security, Parking, Garden, Pool",2024-09-11
Goregaon,2,508.0,17777771.0,3,Security,2024-11-23
Navi Mumbai,3,1518.0,7352216.0,24,"Parking, Pool, Garden, Security",23-Feb-24
Goregaon,2,527.0,8546876.0,11,"Garden, Parking, Pool",05/09/2024
Worli,3,601.0,5712302.0,5,"Security, Parking, Garden","August 26, 2024"
Worli,2,1096.0,4307005.0,17,"Parking, Garden","August 16, 2024"
Worli,2,1130.0,26252787.0,39,"Parking, Pool, Gym",07-Mar-24
Bandra,2,743.0,17492672.0,20,"Pool, Gym, Garden, Security",20/02/2024
Borivali,3,1029.0,17666793.0,14,"Gym, Garden","April 06, 2024"
Bandra,2,1073.0,9531319.0,2,Gym,01-Apr-24
Dadar,2,1037.0,3825679.0,1,Pool,09/05/2025
Thane,5,758.0,38310204.0,39,Parking,20/09/2024
Thane,3,1076.0,13983309.0,3,"Garden, Gym","February 21, 2025"
Worli,5,1392.0,11781882.0,31,Security,"October 17, 2024"
Dadar,2,471.0,8749614.0,1,Pool,05/04/2024
Powai,2,605.0,3182782.0,28,"Parking, Pool, Garden","March 28, 2024"
Powai,4,909.0,21529513.0,1,"Security, Garden, Gym, Parking",18-Mar-24
Worli,2,530.0,5753839.0,33,"Garden, Security, Pool",14/10/2024
Navi Mumbai,3,268.0,15065855.0,26,"Gym, Parking, Pool","April 29, 2024"
Bandra,2,1282.0,17235821.0,38,"Pool, Security, Gym, Parking","October 28, 2024"
Worli,2,250.0,13263077.0,37,"Gym, Garden, Security, Parking",05-May-25
Juhu,1,759.0,14389137.0,17,"Security, Pool","February 03, 2025"
Goregaon,2,1165.0,24340979.0,35,"Pool, Parking, Garden, Gym","March 27, 2025"
Thane,1,993.0,6746610.0,18,"Pool, Gym, Garden, Parking","May 14, 2025"
Powai,1,764.0,11979430.0,26,"Security, Parking",2024-06-13
Andheri,5,515.0,9482293.0,19,"Pool, Gym, Security",30-Jun-24
Powai,2,1020.0,3599340.0,20,Garden,13-Apr-25
Thane,3,554.0,12887907.0,22,Parking,2025-02-01
Goregaon,3,993.0,22994149.0,29,"Security, Garden, Pool, Parking",10-Aug-24
Thane,3,949.0,24786272.0,24,"Security, Garden, Parking","November 06, 2024"
Andheri,2,952.0,33081551.0,30,"Garden, Security, Parking, Gym","March 07, 2025"
Worli,3,675.0,3744387.0,26,"Security, Parking","April 10, 2025"
Dadar,3,1612.0,28837195.0,33,"Garden, Security, Pool",07-Jan-24
Andheri,3,1025.0,12126502.0,7,"Gym, Parking, Security",25-Nov-24
Thane,3,802.0,28355668.0,18,"Gym, Garden",19/09/2024
Thane,5,992.0,8564451.0,25,"Security, Gym, Parking, Garden",2024-06-09
Juhu,3,628.0,7893259.0,27,Garden,30-May-24
Juhu,2,764.0,5234786.0,3,"Pool, Security",25/03/2024
Borivali,3,1737.0,17289095.0,30,"Pool, Parking, Security",2024-05-26
Juhu,1,631.0,14778525.0,15,"Parking, Gym, Garden, Pool",2024-04-21
Bandra,4,872.0,5552697.0,9,Parking,"January 15, 2025"
Bombay,1,740.0,2962423.0,37,"Security, Garden, Parking, Pool","February 06, 2025"
Goregaon,2,,13924315.0,9,Gym,05/02/2024
Andheri,3,1047.0,14909397.0,8,"Gym, Garden, Security, Pool",11/10/2024
Thane,3,912.0,6003355.0,38,Pool,"July 06, 2024"
Borivali,2,1218.0,5321698.0,35,Security,"March 22, 2024"
Borivali,2,,16086982.0,35,"Parking, Pool, Garden, Security",2024-01-02
Goregaon,4,1215.0,33060052.0,18,Garden,2025-01-19
Dadar,2,,8064690.0,18,Garden,29-Oct-24
Andheri,4,1124.0,6402612.0,11,"Garden, Pool, Security, Gym","July 15, 2024"
Powai,1,1132.0,12985126.0,12,Gym,2025-02-07
Juhu,3,542.0,15889226.0,24,"Pool, Garden, Parking",11/01/2024
Worli,3,788.0,8722583.0,35,"Parking, Gym, Garden, Pool",2024-08-21
Borivali,2,390.0,36581553.0,24,Parking,"January 20, 2025"
Juhu,2,1134.0,18643555.0,27,"Parking, Garden",2024-07-13
Juhu,2,1132.0,8634165.0,38,"Parking, Security, Garden, Pool","April 15, 2025"
Bandra,3,1400.0,4174521.0,29,"Pool, Garden",2024-04-28
Dadar,2,819.0,23954172.0,4,"Garden, Security, Pool, Parking",30-Jan-25
Worli,3,1058.0,22190143.0,16,"Parking, Garden, Pool, Security",20-Jan-24
Powai,2,1245.0,9050660.0,17,"Garden, Security, Parking, Pool",17/09/2024
Thane,2,636.0,13394373.0,20,"Parking, Gym, Security",19/10/2024
Bandra,1,582.0,9916574.0,21,Pool,"February 25, 2025"
Juhu,2,646.0,14832916.0,38,"Pool, Garden","September 12, 2024"
Juhu,3,777.0,5868034.0,5,"Security, Parking","August 09, 2024"
Navi Mumbai,4,595.0,5386943.0,15,"Security, Garden",2025-01-27
Worli,3,662.0,17654800.0,1,Parking,2024-08-13
Worli,2,1208.0,19049833.0,0,"Pool, Parking",2024-02-22
Navi Mumbai,5,866.0,8085030.0,29,Parking,03/03/2025
Worli,3,1007.0,6924160.0,36,Garden,"December 20, 2024"
Juhu,4,,21607259.0,22,"Garden, Pool",2025-05-14
Borivali,2,684.0,7066264.0,0,"Parking, Gym, Garden",07/12/2024
Andheri,2,999.0,11220430.0,18,"Pool, Parking, Security, Garden",29-Dec-24
Juhu,1,944.0,10398280.0,2,"Garden, Gym, Pool","October 06, 2024"
Bandra,3,1172.0,4501208.0,1,"Security, Pool, Garden",21-Mar-24
Dadar,1,1355.0,12179546.0,36,Security,20/07/2024
Navi Mumbai,2,658.0,11486054.0,16,"Gym, Parking","June 06, 2024"
Powai,2,,13471875.0,27,"Pool, Gym, Parking, Garden",2024-04-29
Thane,3,522.0,11934436.0,17,"Garden, Security, Gym, Pool",28/02/2024
Powai,3,1625.0,39091376.0,32,"Security, Garden, Parking",08-May-25
Juhu,2,624.0,21790986.0,14,"Pool, Gym",02-Aug-24
Bandra,2,1141.0,11109214.0,21,Pool,07-May-24
Juhu,3,519.0,11735670.0,26,"Security, Gym",11/08/2024
Dadar,5,846.0,31270056.0,36,"Garden, Parking, Gym",27/07/2024
Borivali,3,1441.0,18216761.0,31,Security,"January 04, 2025"
Thane,4,613.0,5191838.0,18,Pool,"April 24, 2024"
Dadar,3,1671.0,19179814.0,27,"Pool, Gym",27-Jul-24
Navi Mumbai,3,898.0,22877871.0,27,Parking,14/01/2024
Navi Mumbai,2,1241.0,28649033.0,9,Garden,"January 09, 2024"
Juhu,3,1041.0,8530043.0,19,Security,09/02/2024
Bandra,3,1059.0,8164693.0,24,"Garden, Gym, Pool, Parking",2025-03-25
Dadar,3,400.0,6168159.0,20,"Security, Pool, Parking, Gym",24/08/2024
Goregaon,2,734.0,13057542.0,13,"Security, Parking, Garden",07-Oct-24
Bandra,2,1318.0,16847630.0,21,Garden,24/12/2024
Borivali,2,,7976438.0,25,Gym,19-Jul-24
Navi Mumbai,2,948.0,9968202.0,10,Gym,"September 02, 2024"
Juhu,2,358.0,3165335.0,6,"Gym, Garden, Parking","October 04, 2024"
Worli,3,711.0,26847129.0,16,"Parking, Garden","August 22, 2024"
Navi Mumbai,2,1293.0,4243989.0,17,"Security, Parking, Garden, Gym",2025-05-08
Thane,1,451.0,13590313.0,6,"Parking, Garden",04-Jan-24
Andheri,2,1150.0,12521440.0,19,"Garden, Parking",2024-06-02
Worli,3,962.0,11155964.0,37,Garden,2025-03-17
Juhu,2,817.0,11310908.0,10,Security,"January 29, 2024"
Goregaon,2,802.0,5914581.0,15,"Pool, Gym, Garden",18-Apr-24
Worli,3,728.0,8914243.0,26,"Pool, Parking, Garden, Gym",07/04/2024
Thane,2,759.0,19411387.0,10,"Pool, Security, Parking",02/08/2024
Bandra,4,1225.0,23186791.0,15,"Parking, Gym, Garden, Pool",19-Oct-24
Goregaon,4,748.0,8431282.0,22,"Security, Gym, Garden",15/03/2024
MUMBAI,2,1532.0,4255608.0,11,"Security, Pool","November 21, 2024"
Goregaon,2,,6802466.0,39,"Parking, Gym, Pool, Garden","May 25, 2024"
Dadar,3,698.0,32986807.0,2,"Security, Gym, Pool",2024-05-07
Thane,1,1240.0,7049825.0,1,"Gym, Security","December 06, 2024"
Worli,2,1118.0,10238624.0,37,"Security, Gym, Garden",11/02/2024
Dadar,2,321.0,25381914.0,23,Parking,2024-12-21
Goregaon,4,537.0,7911772.0,28,"Garden, Gym, Security, Pool",10-Feb-24
Dadar,1,859.0,9827339.0,33,"Garden, Gym, Pool",25-Feb-25
Powai,3,345.0,17482291.0,19,Gym,2024-02-03
Thane,3,1631.0,30312906.0,17,Security,"January 17, 2024"
Borivali,2,1187.0,7368089.0,13,"Gym, Garden, Security, Parking",2024-06-13
Bandra,1,895.0,25021779.0,17,"Parking, Security",2024-06-01
Goregaon,5,780.0,9166653.0,1,"Garden, Parking, Security, Pool","April 30, 2025"
Thane,2,690.0,6378495.0,0,"Gym, Garden, Security, Pool",12-Jan-25
Borivali,3,250.0,12606635.0,19,"Garden, Parking, Pool, Security",2024-03-16
Borivali,2,293.0,5419202.0,33,"Gym, Security, Pool, Parking",27-Mar-24
Juhu,2,1565.0,14406742.0,10,Security,26/04/2024
Dadar,2,1450.0,71828278.0,26,"Gym, Parking, Pool","December 27, 2024"
Borivali,1,698.0,21069994.0,22,"Pool, Gym, Parking",07/12/2024
Powai,1,,10191455.0,37,Pool,13-Apr-25
Thane,3,,20405625.0,2,"Gym, Security",27/01/2024
Andheri,2,1118.0,6206371.0,11,"Gym, Pool, Security",08/11/2024
Andheri,2,401.0,6863961.0,29,Pool,13/10/2024
Goregaon,2,,10362469.0,30,"Pool, Gym, Parking",2024-05-13
Navi Mumbai,3,1313.0,11440483.0,22,"Garden, Pool, Security",2024-08-06
Dadar,1,250.0,4995351.0,0,"Security, Parking","June 16, 2024"
Navi Mumbai,3,848.0,9030457.0,19,"Parking, Security, Gym, Pool",07-Apr-24
Borivali,1,,9951629.0,5,"Garden, Parking, Pool, Security",24-Sep-24
Thane,1,738.0,27376168.0,10,"Gym, Pool","August 24, 2024"
Goregaon,1,1010.0,4995223.0,34,"Garden, Pool, Gym",04-Nov-24
Worli,3,662.0,4724966.0,3,"Gym, Pool",30-Mar-25
Borivali,1,1038.0,12060249.0,28,Gym,28/01/2025
Dadar,1,,21650215.0,9,Pool,21/06/2024
Andheri,2,1634.0,15111337.0,28,"Security, Garden",04-Feb-25
Juhu,3,415.0,13014909.0,37,"Parking, Security, Gym, Garden","February 13, 2025"
Thane,2,910.0,9127799.0,0,Garden,"April 13, 2025"
Bandra,2,1050.0,16283501.0,39,"Garden, Security",20-Apr-25
Navi Mumbai,1,810.0,17825374.0,7,"Security, Garden, Parking, Gym","July 08, 2024"
Goregaon,2,432.0,9300823.0,37,"Security, Gym, Garden, Pool","May 01, 2024"
Navi Mumbai,3,1339.0,6143009.0,16,"Security, Gym, Pool, Garden",15/02/2024
Thane,3,1017.0,6167023.0,18,"Parking, Garden, Pool, Gym","March 04, 2024"
Navi Mumbai,2,456.0,18388583.0,32,"Parking, Security, Garden",2024-05-09
Thane,2,1053.0,4297036.0,14,"Garden, Parking",05/11/2024
Navi Mumbai,1,1495.0,29687466.0,30,"Gym, Security",2024-12-28
Powai,2,887.0,8254958.0,20,"Gym, Security, Parking, Pool",11-Jul-24
Worli,1,899.0,13068550.0,2,"Security, Parking, Pool, Garden","November 02, 2024"
Borivali,3,1448.0,16535597.0,1,"Parking, Garden",2024-06-29
Borivali,5,560.0,7201418.0,34,"Security, Pool, Parking, Garden","October 18, 2024"
Dadar,5,1504.0,8236296.0,15,Gym,2025-01-05
Bandra,4,1240.0,11747864.0,20,"Gym, Pool, Security",08/10/2024
Bandra,3,576.0,6502957.0,11,Parking,29-Jan-24
Dadar,3,666.0,5719632.0,27,Pool,2024-05-28
Juhu,2,716.0,6036474.0,11,"Gym, Security, Parking, Garden",23/09/2024
Borivali,3,258.0,22420534.0,32,"Parking, Garden",22-Oct-24
Juhu,2,991.0,13780359.0,19,"Security, Garden",2024-01-11
Thane,2,592.0,6743568.0,39,"Gym, Security, Parking, Pool",2024-06-12
